name,tvl,chain,category,first_seen,last_seen
Jupiter Perpetual Exchange,755131174.7230281,Solana,Derivatives,2025-08-12T10:19:10.407698,2026-06-01T13:39:36.217965
Drift Trade,23239161.8563455,Solana,Derivatives,2025-08-12T10:19:10.407698,2026-04-02T09:02:05.432236
GMX V2 Perps,189322794.55825946,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2026-06-01T13:39:36.217965
Hyperliquid HLP,355641974.9300748,Hyperliquid L1,Derivatives,2025-08-12T10:19:10.407698,2026-06-01T13:39:36.217965
dYdX V4,97132323.88229115,dYdX,Derivatives,2025-08-12T10:19:10.407698,2026-06-01T13:39:36.217965
Lighter V2,470006878.4418466,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2025-09-18T08:27:22.728724
edgeX,170929575.3920516,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2025-09-04T08:27:43.038302
Derive V2,133834349.54883614,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2026-06-01T13:39:36.217965
Synthetix V3,37982123.55307265,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2026-06-01T13:39:36.217965
MYX Finance,13436888.116174147,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2026-05-14T10:21:30.670585
Paradex,79685560.65193713,Ethereum,Derivatives,2025-08-12T10:19:10.407698,2025-09-04T08:27:43.038302
LuckyFuture,30976144.173396274,Solana,Derivatives,2025-08-12T10:19:10.407698,2025-11-28T08:31:48.271570
Ostium,46640581.86425764,Arbitrum,Derivatives,2025-08-12T10:19:10.407698,2026-06-01T13:39:36.217965
Aster Perps,37088918.42219481,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2025-09-15T08:29:06.553151
dYdX V3,39102052.77760851,Ethereum,Derivatives,2025-08-12T10:19:10.407698,2026-06-01T13:39:36.217965
Contango V2,10745436.255623732,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2026-05-25T11:54:34.397034
RollX,38904806.89270961,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2025-10-08T08:29:11.445936
Extended,149784099.80141708,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2026-06-01T13:39:36.217965
Orderly Perps,40065983.04987701,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2025-09-02T08:29:27.864214
Aevo Perps,16134361.079549309,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2026-06-01T13:39:36.217965
Moonlander,30288945.188314237,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2026-06-01T13:39:36.217965
Wasabi,10952962.060797613,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2026-04-09T09:12:16.379350
Toros,10143239.843337147,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2026-05-13T10:31:17.759198
SynFutures V3,10059803.921049386,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2025-12-12T08:34:02.133621
Gains Network,13775692.690284185,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2026-06-01T13:39:36.217965
Fulcrom Perps,12456223.33545409,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2026-06-01T13:39:36.217965
Reya DEX,31838566.48742932,Reya Network,Derivatives,2025-08-12T10:19:10.407698,2025-10-10T08:28:17.280897
Surf Protocol,18876894.29330456,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2025-12-03T08:32:57.395952
Storm Trade,10134130.680887107,TON,Derivatives,2025-08-12T10:19:10.407698,2026-02-24T08:53:53.017962
Avantis,44169304.9790708,Base,Derivatives,2025-08-12T10:19:10.407698,2026-06-01T13:39:36.217965
APX Finance,23764998.923427,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2025-09-15T08:29:06.553151
Apex Omni,34732888.30968344,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2026-06-01T13:39:36.217965
Adrena Protocol,12588353.803026188,Solana,Derivatives,2025-08-12T10:19:10.407698,2025-11-11T08:29:56.078177
FlashTrade,10107671.69139206,Solana,Derivatives,2025-08-12T10:19:10.407698,2026-05-25T11:54:34.397034
Helix Perp,12748151.769244201,Injective,Derivatives,2025-08-12T10:19:10.407698,2026-05-08T09:26:03.125924
GMX V1 Perps,10347629.419373434,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2025-08-15T08:30:30.331176
MUX Perps,10140459.281826656,Multi-Chain,Derivatives,2025-08-12T10:19:10.407698,2026-05-15T10:27:27.428617
Hakka Finance,10157097.19662502,Multi-Chain,Derivatives,2025-08-13T08:31:27.040858,2025-10-09T08:28:55.891948
Pacifica,29759186.229889978,Solana,Derivatives,2025-09-16T08:29:03.952403,2026-05-25T11:54:34.397034
ZO Perps,11858199.534042599,Sui,Derivatives,2025-09-18T08:27:22.728724,2025-10-29T08:31:21.210114
GRVT,18331693.603880506,Ethereum,Derivatives,2025-09-22T08:29:57.676630,2025-10-08T08:29:11.445936
SunPerp,64799613.38415615,Tron,Derivatives,2025-09-26T08:29:22.651190,2025-11-11T08:29:56.078177
Vest Exchange,31150557.545774207,Multi-Chain,Derivatives,2025-09-29T08:31:37.789180,2025-10-17T08:29:43.446572
ELFi Protocol,10287267.148471093,Multi-Chain,Derivatives,2025-09-29T08:31:37.789180,2025-12-15T08:36:24.012107
Bluefin Pro,10906495.335329471,Sui,Derivatives,2025-10-08T08:29:11.445936,2026-02-06T08:49:49.171953
Reya Perps,12487700.514399605,Reya Network,Derivatives,2025-10-13T08:31:16.416566,2026-06-01T13:39:36.217965
Vest Markets,10597547.383055564,Multi-Chain,Derivatives,2025-10-20T08:29:40.998056,2025-12-09T08:34:00.448654
Ethereal DEX,29489908.327889483,Ethereal,Derivatives,2025-10-31T08:29:03.320280,2026-06-01T13:39:36.217965
